age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
45,Female,128362,6.78,30,3,8.12,3.54,1.95,10,2.46,9.41,5.69,8.07,82.68,77.64,3.42,0.51,0.4,0.11,0.57,0.24,6.27,13,216,0.47,2,1,58.21,5,4.06,7.15,5.7,23.42,14.0,4.84,3.74,37,3
52,Female,52700,6.24,19,22,7.79,0.69,5.33,9,6.19,6.29,9.14,5.94,96.35,100.0,6.07,0.71,0.12,0.37,0.5,0.41,16.26,24,356,2.21,3,0,478.48,0,7.06,6.27,6.95,21.87,8.98,5.17,6.75,31,3
50,Female,94907,1.07,6,8,6.7,1.57,0.68,9,0.0,8.0,7.75,6.09,62.6,74.48,0.23,0.53,0.46,0.05,0.72,0.49,14.64,40,229,2.81,10,1,557.84,3,4.72,1.01,8.48,22.65,5.57,4.09,3.11,86,8
27,Male,94803,10.31,14,19,3.19,0.32,1.37,7,4.8,7.82,4.22,4.98,76.92,41.27,7.46,0.24,0.14,0.33,0.26,0.45,2.67,12,224,2.33,10,1,39.61,2,4.69,5.64,3.86,24.58,12.01,4.67,2.81,58,8
44,Male,73264,1.73,10,7,6.15,1.38,1.76,5,4.89,1.0,9.21,7.35,89.49,47.3,1.09,0.68,0.46,0.52,0.21,0.35,6.86,45,242,1.49,7,1,312.17,6,4.49,1.24,8.14,23.84,10.58,3.15,3.5,97,7
39,Female,93447,9.32,34,17,8.59,0.14,4.29,1,4.89,4.1,6.9,7.18,80.09,87.46,5.47,0.17,0.09,0.19,0.3,0.39,3.34,48,462,2.3,8,1,588.91,3,6.16,3.22,6.41,25.13,14.99,1.55,7.46,98,10
56,Male,149231,0.67,11,16,8.49,1.66,0.01,8,4.49,8.15,4.5,6.56,74.86,72.99,1.5,0.69,0.49,0.43,0.82,0.56,9.84,46,330,4.26,7,0,777.1,7,5.04,4.38,6.83,22.33,1.31,4.23,6.56,68,8
56,Female,43041,1.33,9,21,5.12,1.25,6.36,4,5.65,3.65,6.92,5.78,47.98,81.85,0.5,0.77,0.18,0.13,0.33,0.99,0.72,9,385,1.38,3,1,1510.7,10,8.71,5.29,5.76,19.49,4.1,2.51,5.44,88,3
46,Male,54677,12.17,15,21,7.73,0.48,0.82,2,4.61,2.45,2.95,1.69,73.21,65.57,7.2,0.47,0.24,0.19,0.62,0.73,3.53,38,128,0.95,4,0,553.02,10,4.66,8.97,9.23,17.69,17.52,7.29,5.39,93,7
32,Female,24004,0.67,19,0,7.59,1.3,0.14,6,5.09,7.45,0.0,3.51,95.01,61.82,0.27,0.93,0.63,0.55,0.36,0.57,6.18,38,369,2.12,8,1,185.5,10,2.44,3.0,6.14,19.01,5.09,5.19,4.73,40,3
47,Female,53572,4.07,18,11,4.72,0.68,0.23,9,4.27,1.38,3.41,4.78,60.76,82.1,3.39,0.5,0.55,0.74,0.38,0.68,6.93,27,411,1.35,2,1,658.66,10,3.09,4.8,5.54,26.7,5.89,2.82,6.54,87,10
59,Male,28285,9.2,13,15,5.35,0.36,0.73,1,2.96,9.22,5.71,3.42,42.47,45.62,7.39,0.13,0.21,0.48,0.43,0.24,6.01,10,350,0.28,2,0,1009.3,10,8.14,5.89,8.99,21.68,14.98,3.51,1.55,82,2
40,Male,133458,2.85,33,14,8.34,0.64,4.88,6,5.24,6.95,10.0,8.32,52.56,49.48,2.95,0.59,0.23,0.73,0.65,0.44,10.55,4,63,1.9,9,0,453.69,9,6.93,7.72,4.63,21.44,4.89,6.2,3.75,7,4
13,Male,10236,2.76,19,19,7.2,0.44,1.97,10,6.48,10.0,5.22,8.23,90.97,100.0,1.75,0.57,0.76,0.52,0.77,0.71,4.27,32,194,1.24,9,1,963.4,9,4.57,3.98,6.2,24.77,12.96,6.38,1.07,41,10
50,Male,136716,9.3,21,0,6.36,0.55,0.98,2,8.06,2.15,4.02,0.78,47.29,77.34,6.54,0.58,0.37,0.34,0.86,0.44,2.48,33,0,2.83,4,1,1096.42,8,5.76,5.91,3.59,22.84,14.56,2.44,5.08,42,8
23,Male,52607,6.35,29,0,9.21,3.51,2.82,6,7.08,0.47,6.11,6.04,83.36,81.14,4.44,0.88,0.32,0.46,0.26,0.41,7.78,22,499,2.91,0,0,24.09,9,3.3,4.02,4.04,23.71,7.48,4.83,4.77,65,10
14,Other,72726,2.29,2,5,6.96,8.93,1.33,2,6.24,3.74,4.75,3.47,82.2,80.33,2.0,0.26,0.25,0.25,0.32,0.03,5.32,23,243,2.15,9,1,619.74,9,5.22,8.37,4.78,14.99,5.56,7.74,5.81,30,7
52,Female,34063,2.52,19,5,7.81,0.06,2.27,6,2.75,3.49,4.06,7.16,78.92,62.77,1.52,0.5,0.21,0.63,0.52,0.19,1.84,41,260,0.28,6,1,629.58,10,3.19,6.16,4.91,18.93,8.62,5.74,3.5,48,1
44,Female,113006,5.19,15,18,7.32,2.95,2.17,5,4.03,7.48,5.76,7.56,71.27,77.45,5.76,0.65,0.25,0.37,0.24,0.83,9.79,46,216,0.75,3,1,270.67,6,5.9,5.01,7.1,25.44,8.46,2.54,4.1,64,6
13,Male,146907,9.89,22,8,8.74,0.57,2.55,1,7.21,2.81,5.03,8.57,64.61,63.39,6.65,0.64,0.08,0.16,0.39,0.92,10.58,14,397,1.56,6,1,591.41,6,7.32,7.26,5.44,18.53,21.07,3.95,2.59,28,8
45,Other,11134,2.63,30,20,5.47,1.55,2.86,9,3.5,9.28,8.1,4.55,65.75,45.97,2.37,0.78,0.14,0.39,0.62,0.63,9.4,29,157,2.99,8,0,121.43,5,4.74,4.63,4.58,34.66,5.42,3.06,7.82,57,10
29,Female,126260,5.54,15,16,7.48,2.47,1.22,6,3.15,7.81,5.56,9.16,69.06,67.1,4.69,0.23,0.24,0.23,0.49,0.37,0.93,37,262,4.77,2,1,1580.07,10,3.95,8.61,6.01,17.52,7.67,7.51,2.01,19,1
49,Male,112297,1.81,27,14,9.07,3.16,0.14,5,9.29,6.12,5.33,6.82,64.18,79.94,1.03,0.56,0.33,0.4,0.81,0.92,1.65,33,226,4.77,5,1,650.01,3,5.66,4.84,5.63,24.59,4.2,6.12,0.0,75,1
39,Other,50561,3.68,1,12,8.39,2.52,4.54,10,2.52,7.06,3.58,5.16,31.65,67.28,2.53,0.78,0.41,0.05,0.72,0.84,6.13,40,299,0.39,6,1,628.71,3,4.9,5.62,5.1,27.47,6.67,4.96,0.0,97,9
33,Female,111771,2.43,17,1,6.69,0.93,0.61,5,3.13,3.37,6.82,7.9,99.84,50.69,2.1,0.43,0.05,0.74,0.82,0.77,6.11,28,194,4.55,0,0,120.6,2,4.2,4.62,3.56,27.36,5.38,3.57,1.32,74,8
29,Male,5836,3.56,32,16,9.96,3.93,1.36,4,7.25,6.57,9.41,6.83,78.13,66.02,0.71,0.86,0.13,0.64,0.63,0.69,12.82,11,391,9.27,7,1,381.93,1,3.81,3.47,7.03,27.71,10.24,5.87,2.02,34,4
31,Female,76713,1.17,39,9,6.76,0.19,4.01,7,4.64,5.2,1.95,4.18,65.5,88.99,0.51,0.44,0.22,0.45,0.32,0.55,12.12,23,94,0.53,3,1,875.1,3,4.05,6.13,6.65,26.62,7.43,7.05,4.94,78,9
57,Male,128275,2.98,17,10,8.32,1.1,0.06,5,5.31,4.38,6.12,8.29,48.34,64.93,1.39,0.92,0.16,0.43,0.7,0.08,2.51,45,111,2.1,7,0,1430.59,4,7.46,6.44,4.72,26.4,3.6,1.58,5.18,60,5
24,Male,100326,1.32,3,0,7.39,0.85,0.02,8,8.22,3.66,4.81,1.87,83.92,59.75,1.64,0.17,0.11,0.77,0.25,0.5,6.16,20,430,5.37,6,0,940.55,7,6.07,5.88,6.52,17.41,5.5,8.28,7.03,31,8
35,Male,41624,6.59,8,5,6.8,1.63,1.95,10,0.0,5.11,5.98,8.28,75.6,69.65,5.35,0.72,0.32,0.28,0.45,0.05,5.49,11,167,2.44,6,0,1506.37,8,5.76,5.67,2.89,35.14,8.83,3.8,5.39,49,8
